case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
2state2ap2acc_parity_16778890678674002647_c,no-sat-exact,0,2,21,19,636,615,21,0,0,6,13,0,8,0,0,6,permanent,6,1,minimal,0,5,8,exact,n/a,false,8.795,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state2ap2acc_parity_16781646786751205954,no-sat-exact,0,2,15,15,491,426,16,0,49,5,11,0,7,0,0,4,transient,4,0,minimal,0,4,6,exact,true,true,1.600,SOUND,
2state2ap2acc_parity_16781646786751205954_c,no-sat-exact,0,2,15,15,491,426,16,0,49,5,11,0,7,0,0,4,transient,4,0,minimal,0,4,6,exact,true,true,1.606,SOUND,
2state2ap2acc_parity_16788668605728738519,no-sat-exact,0,2,20,20,754,647,23,0,84,6,16,0,8,0,0,4,transient,5,0,minimal,0,4,10,exact,true,true,21.209,SOUND,
2state2ap2acc_parity_16788668605728738519_c,no-sat-exact,0,2,20,20,754,647,23,0,84,6,16,0,8,0,0,4,transient,5,0,minimal,0,4,10,exact,true,true,21.630,SOUND,
2state2ap2acc_parity_17362277832879126548,no-sat-exact,0,2,9,8,172,164,8,0,0,3,2,0,5,0,0,6,permanent,3,1,minimal,0,3,5,exact,n/a,false,0.670,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state2ap2acc_parity_17362277832879126548_c,no-sat-exact,0,2,9,8,172,164,8,0,0,3,2,0,5,0,0,6,permanent,3,1,minimal,0,3,5,exact,n/a,false,1.446,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state2ap2acc_parity_17406412568756735376,no-sat-exact,0,2,5,5,88,73,6,0,9,3,2,1,2,0,0,3,transient,0,0,minimal,2,1,4,exact,true,true,0.261,SOUND,
2state2ap2acc_parity_17406412568756735376_c,no-sat-exact,0,2,5,5,88,73,6,0,9,3,2,1,2,0,0,3,transient,0,0,minimal,2,1,4,exact,true,true,0.278,SOUND,
2state2ap2acc_parity_18025244405124938740,no-sat-exact,0,2,5,5,75,61,5,0,9,3,2,1,2,0,0,3,transient,0,0,minimal,1,1,3,exact,true,true,0.276,SOUND,
2state2ap2acc_parity_18025244405124938740_c,no-sat-exact,0,2,5,5,75,61,5,0,9,3,2,1,2,0,0,3,transient,0,0,minimal,1,1,3,exact,true,true,0.260,SOUND,
2state3ap1acc_parity_00023183830500946499,no-sat-exact,0,3,34,28,2824,2794,30,0,0,8,16,2,10,0,0,12,permanent,7,1,minimal,1,6,8,exact,n/a,false,54.707,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00023183830500946499_c,no-sat-exact,0,3,34,28,2824,2794,30,0,0,8,16,2,10,0,0,12,,7,1,minimal,1,6,8,exact,n/a,false,60.000,BUDGET,
2state3ap1acc_parity_00400964461790798993,no-sat-exact,0,3,28,27,2632,2603,29,0,0,8,18,2,10,0,0,9,permanent,8,1,minimal,1,5,8,exact,n/a,false,54.801,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00400964461790798993_c,no-sat-exact,0,3,28,27,2632,2603,29,0,0,8,18,2,10,0,0,9,permanent,8,1,minimal,1,5,8,exact,n/a,false,38.616,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00501901734747656691,no-sat-exact,0,3,6,5,270,266,4,0,0,2,1,1,2,0,0,4,permanent,1,0,minimal,0,4,5,exact,n/a,false,5.659,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00501901734747656691_c,no-sat-exact,0,3,6,5,270,266,4,0,0,2,1,1,2,0,0,4,permanent,1,0,minimal,0,4,5,exact,n/a,false,5.647,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00563227171796617636,no-sat-exact,0,3,31,29,3056,3028,28,0,0,8,18,1,12,0,0,11,permanent,8,1,minimal,1,4,8,exact,n/a,false,23.539,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00563227171796617636_c,no-sat-exact,0,3,31,29,3056,3028,28,0,0,8,18,1,12,0,0,11,permanent,8,1,minimal,1,4,8,exact,n/a,false,26.674,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00686725347803615268,no-sat-exact,0,3,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,minimal,-1,-1,-1,,n/a,n/a,60.035,BUDGET,
1state3ap1acc_00392_c,no-sat-exact,0,3,4,4,151,145,0,0,6,1,0,0,2,0,0,4,none,0,0,minimal,0,0,3,exact,true,true,6.256,SOUND,
1state3ap1acc_00394,no-sat-exact,0,3,4,4,151,145,0,0,6,1,0,0,2,0,0,4,none,0,0,minimal,0,0,3,exact,true,true,5.744,SOUND,
2state3ap1acc_parity_00686725347803615268_c,no-sat-exact,0,3,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,minimal,-1,-1,-1,,n/a,n/a,60.031,BUDGET,
2state3ap1acc_parity_00694317499186108691,no-sat-exact,0,3,21,15,1102,1087,15,0,0,5,7,1,8,0,0,8,permanent,3,0,minimal,1,4,7,exact,n/a,false,20.148,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00694317499186108691_c,no-sat-exact,0,3,21,15,1102,1087,15,0,0,5,7,1,8,0,0,8,permanent,3,0,minimal,1,4,7,exact,n/a,false,19.836,ACCEPTOR_ONLY,export refused: certified fixpoint is not a congruence (Lemma 5.2)
2state3ap1acc_parity_00732443274184804514,no-sat-exact,0,3,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,minimal,-1,-1,-1,,n/a,n/a,60.083,BUDGET,
2state3ap1acc_parity_00732443274184804514_c,no-sat-exact,0,3,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,minimal,-1,-1,-1,,n/a,n/a,60.134,BUDGET,
